source_capability	canonical_domain
admin-capability-catalog	identity-access
admin-user-directory	identity-access
admin-web-session-integration	identity-access
agent-audit-permission	identity-access
dingtalk-enterprise-governance	identity-access
dingtalk-identity-governance	identity-access
dingtalk-ones-identity-binding	identity-access
external-identity-presentation	identity-access
external-identity-ui-prototype	identity-access
identity-authorization-bootstrap-reset	identity-access
multi-provider-external-identity-management	identity-access
ones-identity-verification	identity-access
role-authorization-admin-console	identity-access
role-authorization-model	identity-access
role-based-access-control	identity-access
service-account-identity	identity-access
unbound-dingtalk-identity-discovery	identity-access
unified-user-identity	identity-access
web-admin-authentication	identity-access
web-admin-console	identity-access
agent-control-plane-dashboard-prototype	agent-model
agent-profile-model-connection-management	agent-model
agent-workflow-template-config	agent-model
deepseek-model-connection-setup	agent-model
multi-agent-configuration	agent-model
api-capability-publication-composition	business-application
application-tool-resource-composition	business-application
business-application-admin-workbench	business-application
business-application-control-plane	business-application
business-application-execution-policy	business-application
business-application-publication	business-application
business-application-role-access	business-application
business-application-runtime-routing	business-application
business-application-ui-prototype	business-application
channel-connector-configuration	channel-conversation
channel-ingress-contract	channel-conversation
continuous-agent-conversation	channel-conversation
dingtalk-agent-ingress	channel-conversation
dingtalk-stream-ingress	channel-conversation
multimodal-message-storage	channel-conversation
webhook-event-processing	channel-conversation
webhook-trigger-management	channel-conversation
agent-job-debug-api	execution-delivery
agent-job-lifecycle	execution-delivery
claude-agent-runtime-integration	execution-delivery
claude-diagnostic-runtime	execution-delivery
rabbitmq-agent-job-execution	execution-delivery
result-delivery-routing	execution-delivery
runtime-session-isolation	execution-delivery
transactional-runtime-outbox	execution-delivery
base-scoped-redis-loki	builtin-tool-resource
built-in-readonly-tool-governance	builtin-tool-resource
governed-tool-resource-management	builtin-tool-resource
internal-platform-topology	builtin-tool-resource
internal-tool-platform-integration	builtin-tool-resource
local-internal-api-platform-structure	builtin-tool-resource
local-internal-api-platform	builtin-tool-resource
loki-diagnostics	builtin-tool-resource
loki-scope-selector-policy	builtin-tool-resource
multi-dialect-database-gateway	builtin-tool-resource
multi-dialect-schema-inspection	builtin-tool-resource
oracle-instant-client-runtime	builtin-tool-resource
platform-access-control	builtin-tool-resource
readonly-tool-platform	builtin-tool-resource
real-tools-runtime	builtin-tool-resource
workshop-resource-partition-policy	builtin-tool-resource
external-api-connection-authentication	governed-api-capability
external-api-credential-binding	governed-api-capability
governed-api-capability-control-plane	governed-api-capability
governed-api-capability-runtime	governed-api-capability
governed-capability-handler-runtime	governed-api-capability
ones-work-item-search	governed-api-capability
agent-test-data-environment	platform-operations
compose-infrastructure-major-upgrade	platform-operations
db-backed-config-compose-smoke	platform-operations
feature-configuration-simplification	platform-operations
platform-config-api	platform-operations
platform-config-registry	platform-operations
platform-runtime-acceptance	platform-operations
platform-runtime-config	platform-operations
platform-schema-migration-runtime	platform-operations
platform-secret-management	platform-operations
safe-real-model-tool-testing	platform-operations
